-2127.654541,1,610 
-2128.243652,7,524 
-2127.668457,1,619 
-2127.780518,12,50 
-2127.671875,6,293 
-2128.091309,9,394 
-2127.548340,5,377 
-2127.657227,20,295 
-2127.865234,1,310 
-2127.610352,2,580 
-2127.865234,2,581 
-2128.408203,12,378 
-2127.793213,8,180 
-2128.178223,4,138 
-2128.452637,9,128 
-2128.620605,4,133 
-2128.429688,19,385 
-2129.453857,2,240 
-2129.889893,1,56 
-2130.472900,2,618 
-2130.023926,2,611 
-2129.537109,25,525 
-2129.100830,1,58 
-2128.970703,3,51 
-2128.936035,4,381 
-2128.852051,1,311 
-2128.981934,1,50 
-2128.766357,5,93 
-2128.981201,3,325 
-2127.969238,1,239 
-2128.571289,3,181 
-2126.942139,8,615 
-2127.407959,3,524 
-2126.827148,6,520 
-2126.659180,11,132 
-2126.827148,1,133 
-2127.261475,6,56 
-2126.984863,6,127 
-2126.730957,4,580 
-2127.246094,4,124 
-2128.097412,4,75 
-2128.129150,6,385 
-2127.890381,2,326 
-2128.114014,1,92 
-2128.022949,4,309 
-2127.607910,1,139 
-2127.449219,10,383 
-2127.537109,4,311 
-2127.115234,1,58 
-2127.944580,2,509 
-2128.063721,6,310 
-2126.933594,5,386 
-2126.814453,4,311 
-2124.548340,2,227 
-2124.827881,1,128 
-2125.375000,1,610 
-2125.804932,5,56 
-2126.053955,2,381 
-2125.506836,5,611 
-2126.058594,10,519 
-2126.605713,11,610 
-2126.367920,2,340 
-2125.903076,3,525 
-2128.109131,5,228 
-2127.831543,1,127 
-2127.274902,1,520 
-2128.854980,6,614 
-2128.280029,13,619 
-2128.523926,6,339 
-2128.430908,10,382 
-2128.708252,3,128 
-2128.950195,1,325 
-2128.368164,9,180 
-2128.461182,2,381 
-2129.483398,4,240 
-2130.492676,2,387 
-2130.250732,1,326 
-2130.812500,3,519 
-2130.684570,1,523 
-2130.566650,6,293 
-2130.285156,4,127 
-2130.898193,2,524 
-2129.855957,2,239 
-2129.676025,3,70 
-2130.194092,9,618 
-2129.377441,2,510 
-2129.218506,7,132 
-2128.839355,11,611 
-2129.266357,6,138 
-2130.082764,3,509 
-2130.355713,9,325 
-2130.558105,4,128 
-2130.715088,1,133 
-2130.352051,11,619 
-2130.151855,2,127 
-2129.808105,1,340 
-2127.410889,4,477 
-2127.468750,2,295 
-2127.050781,2,139 
-2128.075928,10,240 
-2128.105957,2,382 
-2127.846436,1,395 
-2127.088379,5,114 
-2127.375977,1,339 
-2127.619141,5,113 
-2128.094482,2,128 
-2128.408203,3,394 
-2128.664062,2,116 
-2127.175781,2,258 
-2126.702637,10,115 
-2126.751709,2,114 
-2126.592773,19,383 
-2126.397217,4,93 
-2126.556152,1,382 
-2126.490479,2,293 
-2126.488281,4,309 
-2128.887451,1,476 
-2129.083008,1,92 
-2127.505127,9,334 
-2126.929443,8,520 
-2127.384521,6,326 
-2126.857422,12,377 
-2126.923340,4,295 
-2125.988281,6,342 
-2125.532959,2,325 
-2125.988281,1,326 
-2126.515137,6,378 
-2126.204590,4,395 
-2126.203613,1,311 
-2126.490723,1,610 
-2126.804199,7,394 
-2127.136475,1,113 
-2127.136230,14,309 
-2127.711914,5,519 
-2126.895508,1,510 
-2126.991699,3,116 
-2127.051758,3,310 
-2126.417725,1,523 
-2127.237305,1,509 
-2126.925293,1,340 
-2125.928223,11,609 
-2126.240234,2,339 
-2126.009521,1,93 
-2126.334473,3,69 
-2126.152344,3,113 
-2126.343994,18,92 
-2125.967773,3,115 
-2125.453857,2,125 
-2126.075928,12,524 
-2125.559082,4,377 
-2125.072754,1,325 
-2124.845703,1,70 
-2125.780762,3,341 
-2125.752930,2,381 
-2125.444336,2,395 
-2126.119141,2,618 
-2125.996094,5,383 
-2126.451172,6,326 
-2126.920410,2,611 
-2123.798584,3,352 
-2126.920410,2,353 
-2126.346680,3,520 
-2126.259766,4,166 
-2126.410889,4,69 
-2125.897461,2,127 
-2125.333496,5,523 
-2124.178467,1,145 
-2123.867432,5,182 
-2123.492432,3,58 
-2123.332520,3,340 
-2123.112305,1,309 
-2123.522461,3,138 
-2124.031006,10,519 
-2124.410156,1,56 
-2124.244629,2,93 
-2124.764648,2,378 
-2124.916504,4,339 
-2123.935303,1,239 
-2123.831543,5,293 
-2124.976562,1,117 
-2124.819824,3,340 
-2125.155273,12,128 
-2124.819336,1,619 
-2124.976074,1,339 
-2125.347656,1,394 
-2123.354492,1,393 
-2123.575928,1,92 
-2123.081543,1,520 
-2123.127441,2,525 
-2123.354492,8,179 
-2123.374268,1,295 
-2123.031738,5,127 
-2123.323730,5,610 
-2123.892822,7,618 
-2123.285645,1,336 
-2124.260742,2,240 
-2124.801514,9,524 
-2125.951416,1,146 
-2125.104492,5,164 
-2125.660156,13,519 
-2126.162109,4,124 
-2126.018066,2,325 
-2125.462402,10,520 
-2125.618164,1,385 
-2125.059082,4,377 
-2125.303223,11,581 
-2124.801025,6,125 
-2124.215820,2,523 
-2120.790039,9,284 
-2121.057373,3,334 
-2119.940186,6,386 
-2120.785156,2,166 
-2119.523438,3,257 
-2120.785156,3,258 
-2120.561523,1,93 
-2120.351562,10,182 
-2119.906006,2,395 
-2119.497070,4,70 
-2119.689209,6,381 
-2119.339355,4,340 
-2119.157227,7,385 
-2118.903320,2,580 
-2119.365479,5,326 
-2119.945557,2,378 
-2121.973633,1,392 
-2122.226318,1,394 
-2120.526855,5,441 
-2119.745850,1,442 
-2120.014160,5,128 
-2120.121338,6,381 
-2119.870361,3,383 
-2120.121338,2,381 
-2119.587158,1,377 
-2119.992188,5,339 
-2120.220703,2,92 
-2119.952148,3,127 
-2119.995850,12,384 
-2120.264404,10,128 
-2120.822510,8,378 
-2121.792480,3,283 
-2122.195557,2,69 
-2121.944824,1,340 
-2121.454590,1,325 
-2120.900391,2,377 
-2121.454590,3,378 
-2121.791748,2,440 
-2122.045654,2,581 
-2121.695801,1,383 
-2122.815186,5,256 
-2122.551025,1,336 
-2123.473877,5,181 
-2123.252441,2,127 
-2123.473877,1,128 
-2123.252441,4,127 
-2122.733398,13,377 
-2121.894775,2,510 
-2122.165527,3,339 
-2122.171631,5,380 
-2122.372559,1,311 
-2122.501953,15,326 
-2121.654785,3,164 
-2122.493408,1,509 
-2121.535156,3,342 
-2121.529297,2,383 
-2120.786377,1,179 
-2121.741699,3,165 
-2122.282227,2,519 
-2122.795410,16,378 
-2122.037109,20,284 
-2121.931152,6,166 
-2124.024658,1,444 
-2123.875000,5,293 
-2124.103271,3,128 
-2124.205322,5,165 
-2123.314453,1,113 
-2123.185059,3,325 
-2122.195068,4,164 
-2123.125000,3,117 
-2124.083252,4,341 
-2123.827393,8,340 
-2123.597656,1,93 
-2123.853516,2,339 
-2124.083252,4,92 
-2124.234863,3,295 
-2124.492188,5,334 
-2125.239990,1,181 
-2126.371338,1,387 
-2126.531982,4,385 
-2127.487305,1,165 
-2126.919189,1,377 
-2127.390137,1,326 
-2130.679932,4,285 
-2130.509033,3,132 
-2131.077148,4,378 
-2129.456055,7,48 
