-1326.638916,8,219 
-1327.067017,6,608 
-1328.592529,4,204 
-1326.508545,1,158 
-1326.290283,2,583 
-1326.508545,1,582 
-1326.502563,2,383 
-1328.020386,4,160 
-1327.299072,3,154 
-1328.020386,2,155 
-1327.666016,5,292 
-1326.954102,1,426 
-1327.506104,5,133 
-1327.303223,1,618 
-1325.923096,3,150 
-1326.408936,2,161 
-1327.046997,1,194 
-1328.427124,1,149 
-1328.642090,5,451 
-1328.477417,8,231 
-1328.565552,4,338 
-1328.631714,19,13 
-1328.502808,1,396 
-1328.631714,9,397 
-1328.301758,1,449 
-1329.015747,2,427 
-1328.886841,6,396 
-1329.089722,4,619 
-1328.615723,5,46 
-1327.835693,11,607 
-1328.165649,6,448 
-1328.156616,6,220 
-1328.090454,4,12 
-1328.099487,4,219 
-1327.310547,6,499 
-1326.826660,3,162 
-1326.974487,4,397 
-1325.938477,12,473 
-1326.641846,1,291 
-1326.112305,2,51 
-1326.132202,1,384 
-1326.439209,5,478 
-1325.721191,1,426 
-1325.915894,2,230 
-1327.053833,2,500 
-1326.077881,1,148 
-1327.138916,31,472 
-1326.806885,4,449 
-1328.136963,12,286 
-1328.209106,16,396 
-1327.866089,4,501 
-1328.198120,2,448 
-1328.017456,1,231 
-1328.993530,3,147 
-1328.782349,2,583 
-1331.440674,8,458 
-1332.560425,8,161 
-1332.358521,3,383 
-1332.762573,5,608 
-1333.472656,3,427 
-1333.341675,4,144 
-1333.876221,18,52 
-1333.472046,8,607 
-1333.606934,6,397 
-1334.010986,3,608 
-1333.254028,3,297 
-1333.119141,1,396 
-1332.822876,1,292 
-1332.755005,4,162 
-1332.186768,8,390 
-1332.210815,1,131 
-1332.123413,1,230 
-1332.295288,1,161 
-1331.016357,4,73 
-1330.820435,1,162 
-1330.907715,4,231 
-1330.529541,5,372 
-1330.580688,1,13 
-1330.442627,5,397 
-1329.722534,21,426 
-1328.364624,1,491 
-1328.484619,4,143 
-1328.626587,1,384 
-1327.926270,1,154 
-1327.678101,2,366 
-1328.148071,17,47 
-1328.344971,7,161 
-1328.205933,2,133 
-1328.115845,6,220 
-1327.473877,7,195 
-1327.842041,11,376 
-1328.570068,1,427 
-1329.437134,2,298 
-1329.716431,1,291 
-1329.588989,5,230 
-1329.716431,7,231 
-1329.927490,10,582 
-1330.172852,1,365 
-1330.045410,4,230 
-1329.568481,4,339 
-1329.433472,1,477 
-1328.777466,5,48 
-1330.020508,1,74 
-1329.881470,8,383 
-1330.367432,11,51 
-1330.821411,1,449 
-1329.150391,1,482 
-1328.871094,11,292 
-1328.811890,5,12 
-1329.064941,5,500 
-1328.841797,1,583 
-1329.064941,7,582 
-1329.239990,7,396 
-1328.262817,18,406 
-1327.855835,4,450 
-1327.974243,4,231 
-1327.775391,4,618 
-1326.234985,1,203 
-1327.775391,2,204 
-1328.304565,2,392 
-1328.332397,3,397 
-1329.703369,2,490 
-1329.264404,4,517 
-1330.928467,3,481 
-1331.209839,4,291 
-1329.832764,3,142 
-1329.429688,5,607 
-1328.666626,3,297 
-1329.453857,6,155 
-1329.240723,1,583 
-1329.214844,9,396 
-1329.853882,4,194 
-1330.292847,10,518 
-1330.223022,5,162 
-1331.506958,3,143 
-1331.921143,3,608 
-1332.134277,26,582 
-1332.162109,3,397 
-1332.569092,24,451 
-1332.258667,1,49 
-1332.075684,10,479 
-1332.145508,13,161 
-1332.073364,8,337 
-1331.630371,5,517 
-1331.412231,13,583 
-1331.572876,2,230 
-1331.120850,14,448 
-1330.452637,2,154 
-1330.650513,1,619 
-1330.711670,2,13 
-1328.866577,3,369 
-1328.791626,1,162 
-1329.550781,1,159 
-1328.960815,5,335 
-1328.795166,5,231 
-1328.637207,7,131 
-1328.696167,11,219 
-1328.635010,1,12 
-1328.576050,9,220 
-1328.190063,1,132 
-1326.656250,1,192 
-1326.717407,4,13 
-1326.416504,8,167 691 
-1325.916504,2,46 
-1324.611328,1,150 
-1324.653198,4,161 
-1325.931396,1,405 
-1326.523315,6,337 
-1326.847290,8,478 
-1327.457397,5,338 
-1326.193970,3,203 
-1326.494995,7,168 691 
-1326.453125,3,162 
-1326.658325,1,582 
-1327.158203,13,47 
-1328.463379,1,149 
-1327.729370,2,426 
-1328.182373,8,449 
-1327.926514,1,396 
-1327.968262,5,161 
-1328.256836,6,48 
-1327.968262,3,49 
-1328.224243,1,397 
-1327.968262,6,396 
-1327.218140,5,208 
-1327.671631,14,52 
-1327.218140,3,51 
-1327.864990,2,195 
-1328.378052,9,298 
-1328.340088,8,194 
-1328.795532,3,52 
-1328.139526,4,48 
-1328.857666,1,427 
-1329.113525,1,397 
-1331.319946,1,204 
-1331.975830,1,49 
-1331.257812,4,426 
-1330.804932,12,448 
-1331.257812,6,449 
-1330.601807,4,48 
-1330.383789,1,384 
-1331.101807,3,427 
-1330.895752,8,583 
-1330.568726,4,479 
-1331.009766,4,518 
-1329.707764,10,491 
-1330.443848,1,206 
-1329.901855,3,160 
-1328.625854,4,39 
-1328.663818,4,219 
-1329.205933,5,159 
-1329.958130,3,155 
-1329.684082,6,167 
-1329.902344,4,582 
-1329.684082,29,583 
-1328.585327,2,162 
-1330.494385,3,367 
-1330.646973,2,230 
-1330.494385,1,231 
-1331.128418,3,49 
-1331.404297,3,131 
-1331.554932,1,230 
-1331.755981,3,477 
-1331.015991,14,426 
-1330.744629,3,292 
-1329.670898,2,193 
-1329.601685,2,12 
-1329.801025,25,291 
-1330.389893,4,297 
-1330.694946,1,168 
-1330.499878,5,479 
-1328.500977,1,216 
-1329.842896,4,40 
-1329.219971,6,298 
-1331.222900,6,217 
-1330.588989,1,48 
-1329.826782,7,154 
-1331.048584,6,161 
-1330.998657,8,383 
-1330.796753,1,618 
-1329.189453,8,134 
-1328.858643,4,162 
-1329.370483,6,160 
-1329.579346,20,619 
-1329.098389,2,339 
-1330.419312,4,490 
-1330.635498,12,582 
-1330.697632,1,13 
-1330.635498,1,12 
-1330.224365,2,607 
-1330.017456,2,618 
-1330.673462,7,49 
-1330.735596,9,13 
-1330.622803,3,396 
-1330.215698,4,450 
-1330.622803,2,451 
-1330.560669,5,12 
-1329.254517,2,150 
-1329.038330,4,583 
-1329.388184,1,161 
-1330.694336,3,149 
-1330.344482,4,162 
-1330.235352,2,337 
-1329.142212,2,373 
-1328.979492,3,231 
-1329.215454,2,384 
-1329.451416,4,477 
-1329.658325,9,619 
-1328.495850,1,211 
-1327.189697,1,150 
-1328.270996,1,376 
-1327.820923,1,448 
-1327.265991,1,335 
-1327.477051,1,582 
-1329.377563,4,604 
-1330.683716,5,149 
-1331.238647,2,337 
-1331.025513,12,583 
-1331.087646,5,13 
-1331.025513,13,12 
-1331.202148,17,230 
-1329.799805,8,292 
-1327.883789,2,285 
-1327.738770,2,220 
-1327.492676,1,293 
-1327.238770,4,383 
-1326.236572,3,406 
